loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,Address
30000, 60 months,7.67,603.56,B,B5,Nurse,< 1 year,MORTGAGE,70145.28,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.78,Dec-2008,10,0,9641.77,19.6,20,f,Individual,4.0,0.0,"1073 Main St
DE 10661"
21500, 60 months,3.09,387.19,A,A3,Engineer,10+ years,MORTGAGE,60308.36,Source Verified,Sep-2020,Fully Paid,small_business,Business,19.9,Feb-2010,9,0,132055.68,,19,f,Individual,0.0,0.0,"3445 Main St
MT 13278"
30500, 36 months,13.62,1036.8,C,C1,Owner,9 years,RENT,90121.14,Source Verified,Jan-2017,Fully Paid,debt_consolidation,Debt consolidation,15.99,Jul-2001,16,0,9255.72,12.6,27,w,Individual,3.0,0.0,"4472 Main St
UT 96833"
8000, 36 months,6.34,244.61,A,A5,Customer Service,6 years,MORTGAGE,66186.07,Not Verified,Jul-2015,Fully Paid,home_improvement,Home improvement,11.18,Sep-2011,14,1,13242.59,6.4,27,f,Individual,0.0,0.0,"5557 Main St
WY 94260"
31500, 60 months,4.33,584.82,A,A3,Fire Fighter,1 year,OWN,10920.15,Verified,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,19.63,Feb-2006,7,1,619.84,17.0,22,f,Individual,6.0,0.0,"4090 Main St
VA 26665"
31500, 36 months,12.18,1048.96,C,C3,Owner,9 years,MORTGAGE,41771.06,Not Verified,Jan-2020,Fully Paid,debt_consolidation,Debt consolidation,21.6,Nov-2007,14,0,3380.94,21.1,22,f,Joint App,0.0,0.0,"6356 Main St
KS 38572"
24000, 36 months,6.56,736.23,B,B5,Bartender,< 1 year,RENT,39980.03,Source Verified,Aug-2018,Fully Paid,debt_consolidation,Debt consolidation,17.0,Feb-2002,8,0,5769.45,45.3,20,w,Individual,2.0,1.0,"5318 Main St
CA 61891"
31500, 36 months,3.0,916.06,A,A2,Supervisor,10+ years,MORTGAGE,54825.31,Source Verified,Nov-2019,Fully Paid,debt_consolidation,Debt consolidation,13.83,Aug-1986,12,0,6133.07,82.6,25,f,Individual,1.0,0.0,"1501 Main St
IL 25790"
26000, 60 months,6.76,511.89,B,B3,Clerk,1 year,MORTGAGE,72271.59,Verified,May-2019,Fully Paid,major_purchase,Major purchase,34.06,Sep-2008,9,0,3892.6,6.1,22,f,Individual,0.0,0.0,"4328 Main St
NV 20020"
28000, 36 months,20.22,1043.72,E,E4,Supervisor,9 years,RENT,77256.43,Verified,Mar-2018,Fully Paid,debt_consolidation,Debt consolidation,44.76,Jul-2006,13,0,15174.99,58.1,24,w,Joint App,9.0,0.0,"2658 Main St
IL 38150"
32500, 36 months,10.84,1061.55,D,D2,Software Engineer,5 years,RENT,52782.72,Verified,Nov-2020,Charged Off,major_purchase,Major purchase,10.78,Apr-1998,10,0,3407.04,49.4,23,w,Individual,1.0,2.0,"3520 Main St
AZ 28879"
2000, 36 months,14.52,68.86,D,D3,Office Manager,9 years,MORTGAGE,55914.23,Source Verified,Apr-2017,Charged Off,debt_consolidation,Debt consolidation,30.49,Mar-1998,7,2,3531.37,2.0,18,f,Individual,,0.0,"2004 Main St
NC 49656"
26000, 36 months,20.26,969.7,E,E2,Technician,2 years,RENT,14603.7,Verified,Apr-2018,Charged Off,home_improvement,Home improvement,26.38,Apr-1989,9,0,7480.78,68.7,23,w,Individual,1.0,0.0,"7368 Main St
AL 85205"
4000, 36 months,27.58,164.55,F,F1,Pharmacist,1 year,RENT,113598.23,Not Verified,Dec-2019,Charged Off,debt_consolidation,Debt consolidation,24.85,Jul-1998,11,0,17724.3,29.2,21,w,Individual,1.0,0.0,"8868 Main St
SD 39514"
11000, 36 months,14.91,380.83,D,D2,Marketing Manager,3 years,MORTGAGE,66505.84,Source Verified,Sep-2018,Charged Off,debt_consolidation,Debt consolidation,8.28,Oct-2012,13,0,2090.04,33.9,24,f,Individual,7.0,0.0,"5913 Main St
IN 46054"
37000, 36 months,8.26,1163.89,C,C5,Business Analyst,5 years,RENT,54084.97,Source Verified,Mar-2020,Fully Paid,credit_card,Credit card refinancing,17.39,Jun-2015,12,0,14977.35,40.4,30,f,Individual,2.0,0.0,"6059 Main St
TN 79758"
20000, 36 months,7.48,621.94,B,B3,Security Officer,3 years,RENT,50029.88,Source Verified,Jun-2018,Fully Paid,debt_consolidation,Debt consolidation,32.38,May-1996,10,0,13963.24,65.8,22,f,Individual,1.0,0.0,"3571 Main St
NM 78146"
9500, 36 months,6.58,291.51,B,B2,Human Resources,1 year,MORTGAGE,24582.72,Verified,Mar-2019,Fully Paid,debt_consolidation,Debt consolidation,9.95,Jan-1991,13,0,14538.26,8.8,20,f,Individual,1.0,0.0,"5537 Main St
TN 78046"
2500, 36 months,17.93,90.29,D,D4,Analyst,4 years,MORTGAGE,195742.19,Source Verified,Apr-2015,Fully Paid,car,Car financing,20.11,Jul-1998,8,0,2916.03,25.5,23,w,Individual,3.0,0.0,"6820 Main St
CT 17162"
30500, 60 months,26.16,916.08,G,G1,Warehouse Worker,10+ years,OWN,40594.11,Verified,May-2016,Charged Off,debt_consolidation,Debt consolidation,12.38,Oct-1986,13,0,4698.25,11.8,28,f,Individual,1.0,0.0,"3593 Main St
WI 13281"
7500, 60 months,3.87,137.68,C,C1,Paramedic,8 years,OWN,23072.64,Not Verified,Sep-2016,Charged Off,debt_consolidation,Debt consolidation,30.89,Mar-1992,14,0,7265.63,59.4,33,w,Individual,1.0,0.0,"6626 Main St
CA 40839"
5000, 36 months,28.92,209.31,D,D2,Teacher,10+ years,OWN,53827.75,Source Verified,Jun-2015,Charged Off,debt_consolidation,Debt consolidation,34.23,Mar-2003,10,0,9331.03,11.5,20,w,Individual,0.0,0.0,"1400 Main St
MT 56665"
27000, 60 months,12.43,606.48,C,C5,,5 years,RENT,61108.93,Verified,May-2016,Charged Off,educational,Educational,23.49,Jan-1992,16,0,6955.79,67.6,28,w,Individual,7.0,1.0,"7033 Main St
ND 69421"
1500, 36 months,8.22,47.16,B,B1,Analyst,4 years,MORTGAGE,117720.57,Source Verified,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,16.55,Mar-2008,8,0,11741.35,14.8,20,f,Individual,,1.0,"3089 Main St
CO 12198"
30500, 60 months,4.15,563.77,B,B2,Warehouse Worker,10+ years,MORTGAGE,54909.97,Verified,Sep-2016,Fully Paid,debt_consolidation,Debt consolidation,15.75,Jul-2012,12,0,8952.33,65.0,20,w,Individual,7.0,0.0,"7907 Main St
MI 65217"
36000, 36 months,7.61,1121.64,C,C2,CFO,5 years,OWN,51337.67,Not Verified,Oct-2018,Fully Paid,car,Car financing,15.55,Aug-2009,16,0,1881.58,6.9,28,w,Individual,0.0,0.0,"3493 Main St
CT 91449"
22500, 36 months,7.77,702.68,B,B1,Clerk,8 years,MORTGAGE,37814.96,Not Verified,Mar-2017,Fully Paid,debt_consolidation,Debt consolidation,15.29,Aug-2002,14,0,9875.47,46.7,34,f,Individual,1.0,0.0,"5668 Main St
DE 67491"
4500, 36 months,17.18,160.84,D,D2,Operations Manager,10+ years,RENT,24388.16,Not Verified,Mar-2017,Fully Paid,medical,Medical expenses,15.99,Sep-2015,7,0,3947.5,61.5,25,f,Individual,1.0,0.0,"3102 Main St
NH 47343"
24000, 36 months,22.11,917.94,E,E2,Financial Analyst,6 years,MORTGAGE,27024.71,Source Verified,Apr-2016,Fully Paid,credit_card,Credit card refinancing,24.87,Jun-1985,6,0,28649.82,67.0,21,w,Individual,3.0,0.0,"5964 Main St
MN 13573"
18000, 60 months,20.71,484.03,E,E4,Director,6 years,RENT,83427.65,Not Verified,Aug-2016,Fully Paid,debt_consolidation,Debt consolidation,12.61,Apr-2007,14,2,4338.62,18.2,24,f,Joint App,1.0,0.0,"763 Main St
IN 30260"
39500, 36 months,5.04,1184.56,B,B2,Engineer,10+ years,OWN,78742.0,Verified,Aug-2020,Fully Paid,debt_consolidation,Debt consolidation,24.38,Mar-2010,11,0,1683.12,0.7,26,w,Individual,2.0,0.0,"882 Main St
NJ 90142"
18500, 36 months,12.49,618.8,E,E2,Financial Analyst,10+ years,MORTGAGE,106862.51,Verified,Nov-2018,Charged Off,other,Other,58.99,May-1987,8,1,3592.74,35.7,24,f,Individual,0.0,0.0,"5284 Main St
KY 42201"
25500, 36 months,7.75,796.14,B,B5,Consultant,7 years,MORTGAGE,54038.38,Not Verified,Aug-2018,Fully Paid,debt_consolidation,Debt consolidation,18.77,Dec-1988,13,0,21289.61,43.4,26,w,Joint App,0.0,0.0,"1063 Main St
WY 81691"
2500, 36 months,6.67,76.82,B,B1,CEO,1 year,RENT,148296.37,Not Verified,Jan-2016,Fully Paid,other,Other,22.29,Aug-1990,16,0,80151.16,71.9,30,w,Joint App,4.0,0.0,"3086 Main St
ND 13779"
1500, 36 months,11.58,49.52,D,D5,General Manager,10+ years,MORTGAGE,34403.4,Not Verified,May-2019,Fully Paid,debt_consolidation,Debt consolidation,8.38,May-1986,13,0,12468.31,9.6,27,f,Joint App,1.0,0.0,"6801 Main St
MT 63456"
3500, 36 months,10.07,113.05,B,B3,Operations Manager,,MORTGAGE,46056.03,Not Verified,Dec-2015,Fully Paid,major_purchase,Major purchase,19.84,Nov-1995,11,0,26018.48,20.4,29,w,Individual,0.0,0.0,"5834 Main St
NJ 97532"
27500, 60 months,3.0,494.14,A,A5,Security Officer,4 years,MORTGAGE,56211.75,Source Verified,Apr-2017,Fully Paid,debt_consolidation,Debt consolidation,15.09,Apr-2005,11,0,1553.9,50.1,26,w,Individual,8.0,0.0,"9230 Main St
WV 95618"
2500, 36 months,9.54,80.13,B,B3,Paramedic,10+ years,OWN,55895.34,Verified,Dec-2020,Charged Off,debt_consolidation,Debt consolidation,27.82,Jul-1992,7,0,8698.9,26.5,11,w,Individual,0.0,0.0,"2814 Main St
VT 45003"
27500, 36 months,11.06,901.1,D,D3,Pharmacist,10+ years,MORTGAGE,36522.98,Source Verified,Nov-2018,Fully Paid,debt_consolidation,Debt consolidation,32.04,Jan-1994,11,0,16973.46,11.4,20,w,Individual,,0.0,"8763 Main St
TX 70323"
32000, 60 months,8.34,654.06,B,B5,Engineer,4 years,MORTGAGE,32989.64,Not Verified,May-2018,Fully Paid,car,Car financing,19.09,Oct-2003,7,0,14151.89,60.6,29,w,Individual,1.0,0.0,"8471 Main St
AL 43837"
9500, 36 months,14.8,328.39,C,C4,Owner,4 years,OWN,14607.2,Verified,Feb-2019,Fully Paid,debt_consolidation,Debt consolidation,12.59,Nov-1999,13,0,2179.22,34.8,25,f,Individual,1.0,0.0,"9757 Main St
MI 68774"
22500, 36 months,10.99,736.51,C,C5,Operations Manager,10+ years,RENT,153387.99,Source Verified,Jan-2020,Fully Paid,small_business,Business,12.58,Oct-1988,16,0,3959.14,28.4,24,w,Individual,3.0,0.0,"1132 Main St
NM 35767"
17500, 36 months,21.91,667.52,D,D1,General Manager,4 years,MORTGAGE,60464.53,Verified,Aug-2019,Charged Off,debt_consolidation,Debt consolidation,8.14,May-1987,10,0,1748.42,48.8,18,f,Joint App,1.0,0.0,"6700 Main St
IL 37432"
37500, 60 months,25.75,1117.22,E,E5,Operations Manager,3 years,MORTGAGE,48203.2,Source Verified,May-2016,Charged Off,debt_consolidation,Debt consolidation,14.03,Oct-1992,6,0,7994.1,33.7,21,w,Individual,7.0,0.0,"8172 Main St
ND 32391"
31500, 36 months,8.59,995.69,B,B4,Server,10+ years,MORTGAGE,37194.33,Verified,Mar-2015,Fully Paid,debt_consolidation,Debt consolidation,13.32,Nov-2001,7,0,2643.44,80.1,18,f,Individual,8.0,0.0,"1154 Main St
TX 16465"
7500, 60 months,6.08,145.28,A,A5,,8 years,RENT,63265.85,Source Verified,Nov-2016,Fully Paid,home_improvement,Home improvement,29.16,May-2000,12,0,16553.96,56.2,24,w,Individual,0.0,0.0,"3646 Main St
AL 58458"
24500, 60 months,10.65,528.42,B,B4,Financial Analyst,10+ years,RENT,54418.7,Verified,Aug-2016,Fully Paid,debt_consolidation,Debt consolidation,30.31,Oct-2007,11,0,811.68,33.0,21,f,Individual,2.0,0.0,"7566 Main St
CO 71344"
8000, 36 months,9.36,255.74,B,B1,Human Resources,10+ years,MORTGAGE,169129.2,Source Verified,Apr-2016,Fully Paid,small_business,Business,39.14,Jan-1996,11,0,10781.62,71.0,17,f,Individual,1.0,0.0,"8846 Main St
PA 34263"
36500, 36 months,17.53,1310.97,D,D2,Manager,10+ years,RENT,44730.99,Not Verified,Aug-2020,Fully Paid,credit_card,Credit card refinancing,12.48,May-2013,13,0,534.22,6.8,28,w,Individual,1.0,0.0,"2647 Main St
NJ 10939"
39500, 36 months,3.95,1165.32,A,A4,Security Officer,,RENT,49587.18,Source Verified,Apr-2020,Fully Paid,small_business,Business,12.64,Oct-1991,10,0,33697.58,39.4,19,w,Individual,2.0,0.0,"9970 Main St
IN 17557"
31500, 36 months,3.78,926.93,B,B4,Registered Nurse,7 years,RENT,94694.21,Not Verified,Nov-2016,Fully Paid,debt_consolidation,Debt consolidation,11.24,Feb-2007,13,0,4431.78,79.6,35,f,Individual,2.0,0.0,"572 Main St
OR 38698"
20500, 60 months,11.13,447.05,D,D4,Electrician,10+ years,MORTGAGE,89127.47,Not Verified,Dec-2018,Fully Paid,medical,Medical expenses,34.03,Mar-2014,16,4,6732.85,58.7,29,w,Individual,,3.0,"5730 Main St
WY 70938"
27000, 60 months,19.15,702.63,C,C1,Bartender,10+ years,RENT,29057.14,Not Verified,May-2017,Charged Off,home_improvement,Home improvement,23.06,Mar-2009,11,0,5811.46,22.9,22,w,Individual,3.0,0.0,"5603 Main St
MT 35760"
12500, 36 months,17.13,446.47,D,D3,Consultant,10+ years,OTHER,82384.09,Source Verified,Jun-2020,Fully Paid,credit_card,Credit card refinancing,34.12,Jan-1994,10,0,200000.0,12.6,20,w,Individual,2.0,0.0,"3145 Main St
NE 76552"
13500, 36 months,15.14,468.91,D,D4,Truck Driver,10+ years,MORTGAGE,123815.22,Verified,Oct-2017,Fully Paid,home_improvement,Home improvement,20.02,Apr-2005,9,0,5413.32,14.8,19,w,Individual,4.0,0.0,"5754 Main St
TN 55470"
30500, 36 months,20.42,1140.03,D,D1,Pharmacist,10+ years,RENT,142427.14,Not Verified,Aug-2016,Charged Off,medical,Medical expenses,28.78,May-2001,7,0,15481.89,30.7,15,w,Individual,,0.0,"2980 Main St
TX 86338"
21000, 36 months,13.38,711.42,D,D2,Mechanic,1 year,MORTGAGE,28604.94,Source Verified,Jun-2016,Fully Paid,debt_consolidation,Debt consolidation,14.87,Apr-1993,4,0,18842.72,20.7,16,w,Joint App,0.0,0.0,"6539 Main St
KY 92359"
15000, 36 months,9.46,480.21,B,B4,Operations Manager,1 year,RENT,58707.96,Verified,May-2018,Fully Paid,debt_consolidation,Debt consolidation,17.71,Aug-2006,8,1,3206.36,21.4,21,f,Individual,1.0,0.0,"9239 Main St
NJ 26755"
8000, 36 months,27.19,327.42,G,G3,Electrician,2 years,OWN,31151.2,Not Verified,Jul-2016,Fully Paid,debt_consolidation,Debt consolidation,12.62,Aug-2000,14,0,48394.75,52.8,28,f,Joint App,2.0,0.0,"1699 Main St
DC 12877"
23000, 36 months,13.38,779.18,C,C1,Office Manager,2 years,RENT,100262.94,Verified,Jul-2018,Charged Off,house,Home buying,17.38,Sep-1986,10,0,652.92,28.1,16,w,Individual,0.0,0.0,"9084 Main St
KS 80593"
33000, 36 months,7.16,1021.36,B,B2,Marketing Manager,1 year,RENT,65683.34,Source Verified,May-2020,Fully Paid,debt_consolidation,Debt consolidation,12.7,Nov-2012,9,0,5139.3,16.8,17,w,Individual,0.0,0.0,"8490 Main St
SD 83323"
36000, 36 months,5.59,1088.51,B,B3,IT Manager,1 year,MORTGAGE,123144.27,Not Verified,May-2017,Fully Paid,car,Car financing,22.8,Nov-2006,15,0,6929.63,39.4,33,f,Individual,2.0,0.0,"2804 Main St
FL 67165"
5000, 60 months,13.12,114.07,D,D2,Cook,10+ years,RENT,82525.59,Not Verified,Apr-2016,Fully Paid,debt_consolidation,Debt consolidation,17.09,Apr-2004,8,0,5664.32,63.2,20,w,Individual,1.0,0.0,"5106 Main St
SC 12233"
1000, 60 months,17.65,25.2,E,E3,Paramedic,3 years,MORTGAGE,34699.94,Verified,Dec-2020,Charged Off,debt_consolidation,Debt consolidation,19.89,Sep-1993,14,2,3966.91,66.7,26,w,Joint App,0.0,0.0,"6951 Main St
AZ 42021"
4500, 36 months,4.99,134.85,A,A5,Data Analyst,6 years,OWN,62892.04,Verified,Jan-2018,Fully Paid,home_improvement,Home improvement,27.86,Apr-1991,6,0,2321.37,73.1,18,w,Individual,4.0,0.0,"9460 Main St
NC 65812"
32000, 36 months,3.0,930.6,A,A5,Financial Analyst,10+ years,MORTGAGE,38210.09,Not Verified,Jul-2015,Fully Paid,vacation,Vacation,17.49,Apr-1989,10,0,10918.81,64.6,18,w,Individual,7.0,0.0,"4765 Main St
CO 74699"
6000, 36 months,16.26,211.71,E,E5,Nurse,1 year,RENT,31440.08,Source Verified,Apr-2015,Charged Off,home_improvement,Home improvement,15.12,Apr-2015,4,2,4612.73,67.8,20,f,Individual,2.0,0.0,"7539 Main St
FL 97167"
4500, 36 months,20.41,168.18,E,E2,Project Manager,4 years,OWN,44024.33,Not Verified,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,11.34,Feb-1992,11,0,7941.33,56.5,22,w,Individual,0.0,0.0,"6597 Main St
IL 17609"
18000, 36 months,7.68,561.4,B,B5,Marketing Manager,2 years,RENT,67187.09,Source Verified,Oct-2018,Fully Paid,other,Other,13.78,Dec-2007,14,1,19778.42,62.2,21,w,Individual,0.0,0.0,"1559 Main St
MT 66547"
18000, 60 months,8.48,369.12,B,B1,Bus Driver,1 year,MORTGAGE,33508.08,Not Verified,Oct-2019,Fully Paid,home_improvement,Home improvement,11.5,Jul-1991,11,0,1059.72,19.5,25,w,Individual,,1.0,"4643 Main St
OK 92839"
17000, 36 months,11.86,563.51,C,C1,Marketing Manager,10+ years,MORTGAGE,64450.39,Verified,Jul-2017,Fully Paid,debt_consolidation,Debt consolidation,27.98,Jul-1996,4,1,11294.91,56.7,22,w,Individual,0.0,0.0,"6164 Main St
AR 77219"
3000, 36 months,14.3,102.97,B,B5,CFO,10+ years,RENT,26652.89,Verified,May-2015,Fully Paid,home_improvement,Home improvement,17.58,Apr-2010,11,0,7623.22,26.1,24,w,Individual,0.0,0.0,"3590 Main St
NE 85380"
21000, 36 months,20.38,784.51,E,E3,Office Manager,10+ years,MORTGAGE,19144.09,Not Verified,Apr-2017,Charged Off,medical,Medical expenses,26.67,May-1989,11,0,5213.55,59.5,24,w,Individual,2.0,0.0,"5960 Main St
CA 25391"
14500, 36 months,4.24,429.65,A,A3,,10+ years,MORTGAGE,174712.05,Verified,Dec-2020,Fully Paid,debt_consolidation,Debt consolidation,17.35,Apr-2015,13,3,9487.4,80.1,26,w,Individual,3.0,0.0,"393 Main St
OH 73392"
4000, 36 months,5.2,120.24,A,A2,Vice President,2 years,OWN,46882.97,Not Verified,Mar-2018,Fully Paid,house,Home buying,24.2,Aug-2006,11,0,6946.64,32.0,25,w,Individual,1.0,0.0,"6922 Main St
KS 96442"
37000, 60 months,10.55,796.19,B,B3,Bus Driver,10+ years,RENT,53030.98,Not Verified,Oct-2020,Fully Paid,debt_consolidation,Debt consolidation,17.95,Feb-2005,18,0,18183.29,29.8,34,w,Individual,2.0,0.0,"7021 Main St
UT 55380"
36500, 36 months,7.88,1141.76,B,B4,Financial Analyst,10+ years,RENT,48082.72,Not Verified,Feb-2020,Fully Paid,home_improvement,Home improvement,15.9,Jan-1999,9,0,22189.73,44.3,19,f,Individual,2.0,0.0,"9425 Main St
SD 97224"
6500, 36 months,6.37,198.83,A,A3,Data Analyst,10+ years,MORTGAGE,81297.54,Source Verified,Jan-2015,Fully Paid,debt_consolidation,Debt consolidation,26.27,Jul-1988,9,0,11083.27,42.3,15,w,Joint App,2.0,0.0,"7669 Main St
WA 57927"
17500, 36 months,5.79,530.72,A,A1,Teacher,3 years,MORTGAGE,65994.02,Verified,Apr-2019,Fully Paid,other,Other,15.5,Jun-2000,11,2,3425.86,9.7,23,w,Individual,2.0,2.0,"5375 Main St
HI 40205"
17000, 60 months,14.98,404.25,D,D3,Truck Driver,,MORTGAGE,102205.08,Source Verified,Feb-2019,Charged Off,credit_card,Credit card refinancing,17.96,Jan-1986,10,2,6857.15,30.5,23,w,Individual,0.0,0.0,"1917 Main St
VT 18264"
24500, 36 months,5.22,736.71,A,A2,Accountant,4 years,RENT,70862.31,Not Verified,Mar-2018,Fully Paid,debt_consolidation,Debt consolidation,26.52,Aug-1993,11,0,762.32,53.5,24,f,Individual,1.0,0.0,"6565 Main St
NH 86753"
12000, 36 months,24.8,475.85,E,E3,Marketing Manager,3 years,RENT,59077.73,Not Verified,Aug-2016,Fully Paid,credit_card,Credit card refinancing,7.72,Nov-1996,11,2,16126.02,20.1,19,w,Individual,7.0,0.0,"4376 Main St
ID 51275"
31500, 60 months,8.61,647.94,B,B2,Police Officer,9 years,RENT,109804.7,Verified,Nov-2018,Fully Paid,debt_consolidation,Debt consolidation,16.5,Aug-2010,15,3,10408.21,21.2,24,w,Individual,1.0,0.0,"3574 Main St
ID 83337"
